trial,start_time,rt,correct,fact_id,question,answer,alpha
1,100812.96850000217,3824.5749000052456,False,34,ch.png,switzerland,0.3
2,112717.02180001012,2192.0258999889484,True,34,ch.png,switzerland,0.3
3,121179.06950000906,3028.7860999960685,True,64,ga.png,gabon,0.3
4,128428.4187000012,1259.1054000076838,True,64,ga.png,gabon,0.3
5,132788.92710000218,3872.7419000060763,True,50,do.png,dominican republic,0.3
6,141989.2267999967,982.0223999995505,True,159,pt.png,portugal,0.3
7,147580.95240000694,1927.3450999899069,True,50,do.png,dominican republic,0.3
8,156003.64720000653,961.2668999907328,True,159,pt.png,portugal,0.3
9,161687.3137000075,1135.7385000010254,True,34,ch.png,switzerland,0.250390625
10,170509.3990000023,1378.8141999975778,True,9,at.png,austria,0.3
11,176688.31630000204,1022.9187000077218,True,64,ga.png,gabon,0.250390625
12,180719.2209000059,1187.613699992653,True,9,at.png,austria,0.3
13,185611.19510000572,1189.1275999951176,True,100,jo.png,jordan,0.3
14,190110.8411000023,945.6497000064701,True,187,th.png,thailand,0.3
15,194607.7212000091,1581.807899987325,True,100,jo.png,jordan,0.3
16,199550.5959000002,1141.7515000066487,True,187,th.png,thailand,0.3
17,204117.66750000243,1268.8368999952218,True,50,do.png,dominican republic,0.250390625
18,213493.08700000984,837.5966999883531,True,159,pt.png,portugal,0.250390625
19,218076.39430000563,2667.434899994987,True,169,sc.png,seychelles,0.3
20,228401.09260000463,1052.0859999960521,True,9,at.png,austria,0.250390625
21,233434.38839999726,1053.4680999990087,True,169,sc.png,seychelles,0.3
22,238718.2654000062,1094.0295999898808,True,163,ro.png,romania,0.3
23,244043.15599999973,1066.5310000040336,True,100,jo.png,jordan,0.250390625
24,248302.52270000346,inf,False,163,ro.png,romania,0.3
25,277860.6165000092,1036.4597999869147,True,187,th.png,thailand,0.250390625
26,282402.05580000475,1387.4864999961574,True,49,dm.png,dominica,0.3
27,287240.9356999997,1075.5882000084966,True,169,sc.png,seychelles,0.250390625
28,292126.4327000099,1906.3641999964602,True,49,dm.png,dominica,0.3
29,299267.16970000416,1193.1073000014294,True,163,ro.png,romania,0.250390625
30,304013.07760000054,1193.5529000038514,True,88,hu.png,hungary,0.3
31,309000.72999999975,913.0854999966687,True,135,mt.png,malta,0.3
32,313111.79910000646,1083.231500000693,True,88,hu.png,hungary,0.3
33,317593.3706000069,592.7867999998853,True,135,mt.png,malta,0.3
34,321254.1487999988,1729.8404000030132,True,200,us.png,united states of america,0.3
35,329844.9716000032,1162.53859999415,True,183,sy.png,syria,0.3
36,334098.212900004,1246.1411999975098,True,200,us.png,united states of america,0.3
37,341412.59420001006,1276.3978999864776,True,183,sy.png,syria,0.3
38,345705.7252000086,1364.3284999998286,True,49,dm.png,dominica,0.250390625
39,350453.00880000286,1112.670899994555,True,171,se.png,sweden,0.3
40,355233.3959000098,768.610399987665,True,209,ye.png,yemen,0.3
41,358891.0009999963,912.645500007784,True,171,se.png,sweden,0.3
42,363560.62770000426,820.4632999986643,True,209,ye.png,yemen,0.3
43,367755.2430000069,3486.2973999988753,True,88,hu.png,hungary,0.349609375
44,375057.01590000535,887.6293999928748,True,135,mt.png,malta,0.250390625
45,378987.48730000807,1628.9962000009837,True,20,bi.png,burundi,0.3
46,384081.9005000085,918.5320999968098,True,200,us.png,united states of america,0.250390625
47,390815.096899998,901.9438000104856,True,20,bi.png,burundi,0.3
48,396384.6443000075,1253.0009999900358,True,183,sy.png,syria,0.250390625
49,400677.31680000725,1523.5344999964582,True,188,tj.png,tajikistan,0.3
50,407117.08490000456,854.5324000006076,True,171,se.png,sweden,0.250390625
51,411300.55430000357,1109.3526000040583,True,188,tj.png,tajikistan,0.3
52,416506.4756000065,1003.3565999910934,False,88,hu.png,hungary,0.3984375
53,420984.33230000956,2244.994900000165,True,209,ye.png,yemen,0.271484375
54,426506.07640000817,2509.9472000001697,False,36,ck.png,cook islands,0.3
55,433308.824000007,2577.771700001904,True,206,vu.png,vanuatu,0.3
56,439792.04440000467,1031.1280000023544,True,36,ck.png,cook islands,0.3
57,446043.130200007,802.6276000018697,True,206,vu.png,vanuatu,0.3
58,452276.8442000088,5494.948999999906,True,20,bi.png,burundi,0.349609375
59,462253.1508000102,967.1061999979429,True,88,hu.png,hungary,0.39726562499999996
60,466617.8787000099,1228.075799997896,True,188,tj.png,tajikistan,0.250390625
61,471951.5586000052,3158.8883999938844,True,64,ga.png,gabon,0.2875
62,478203.2099000062,2760.1950999960536,True,79,gq.png,equatorial guinea,0.3
63,490716.22750000097,1214.531799996621,True,36,ck.png,cook islands,0.250390625
64,496084.0717999963,10406.462000013562,False,79,gq.png,equatorial guinea,0.3
65,510777.54920000734,2462.5438999937614,True,20,bi.png,burundi,0.34062499999999996
